CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
14389.6417, 70.3942, 44.2622, 570.4665, 0.0237, -0.0288, 0.0057, 70.3942, 44.2622, 570.4665, 0.0237, -0.0288, 0.0057, 4930
14389.6584, 70.3736, 44.2718, 570.1133, 0.0289, -0.0401, -0.0014, 70.3736, 44.2718, 570.1133, 0.0289, -0.0401, -0.0014, 4931
14389.6751, 70.5334, 44.5579, 573.0456, 0.0129, -0.0408, 0.0057, 70.5334, 44.5579, 573.0456, 0.0129, -0.0408, 0.0057, 4932
14389.6918, 70.4048, 44.4755, 572.3128, 0.0264, -0.0248, 0.0124, 70.4048, 44.4755, 572.3128, 0.0264, -0.0248, 0.0124, 4933
14389.7084, 70.2253, 44.2601, 569.4852, 0.0184, -0.0242, 0.0067, 70.2253, 44.2601, 569.4852, 0.0184, -0.0242, 0.0067, 4934
14389.7251, 70.2781, 44.3343, 570.4672, 0.0252, -0.0304, 0.0152, 70.2781, 44.3343, 570.4672, 0.0252, -0.0304, 0.0152, 4935
14389.7418, 69.9807, 44.2622, 568.8492, 0.0328, -0.0410, 0.0082, 69.9807, 44.2622, 568.8492, 0.0328, -0.0410, 0.0082, 4936
14389.7585, 70.2674, 44.6079, 570.6831, 0.0190, -0.0267, 0.0074, 70.2674, 44.6079, 570.6831, 0.0190, -0.0267, 0.0074, 4937
14389.7752, 70.7736, 44.4373, 571.2780, 0.0135, -0.0304, -0.0003, 70.7736, 44.4373, 571.2780, 0.0135, -0.0304, -0.0003, 4938
14389.7918, 70.6371, 44.4092, 572.6567, 0.0192, -0.0349, 0.0053, 70.6371, 44.4092, 572.6567, 0.0192, -0.0349, 0.0053, 4939
14389.8085, 70.4829, 44.4557, 570.5847, 0.0186, -0.0394, 0.0044, 70.4829, 44.4557, 570.5847, 0.0186, -0.0394, 0.0044, 4940
14389.8252, 70.2688, 44.6167, 572.5752, 0.0195, -0.0361, 0.0098, 70.2688, 44.6167, 572.5752, 0.0195, -0.0361, 0.0098, 4941
